K,Dimension,Number of Points,Time,Distribution
4,2,25600,0.000399809,Uniform
5,2,25600,0.000516735,Uniform
6,2,25600,0.000594073,Uniform
7,2,25600,0.000717328,Uniform
8,2,25600,0.000884822,Uniform
9,2,25600,0.00101811,Uniform
10,2,25600,0.0011418,Uniform
11,2,25600,0.00118481,Uniform
1,2,51200,8.66894e-05,Uniform
2,2,51200,0.000199133,Uniform
3,2,51200,0.000343464,Uniform
4,2,51200,0.000532774,Uniform
5,2,51200,0.000728496,Uniform
6,2,51200,0.000849691,Uniform
7,2,51200,0.00102973,Uniform
8,2,51200,0.00127037,Uniform
9,2,51200,0.00146905,Uniform
10,2,51200,0.00152556,Uniform
11,2,51200,0.00170306,Uniform
1,2,102400,9.8031e-05,Uniform
2,2,102400,0.000257442,Uniform
3,2,102400,0.000448233,Uniform
4,2,102400,0.000714053,Uniform
5,2,102400,0.000956362,Uniform
6,2,102400,0.00111369,Uniform
7,2,102400,0.00137769,Uniform
8,2,102400,0.00167009,Uniform
9,2,102400,0.00190865,Uniform
10,2,102400,0.0021193,Uniform
11,2,102400,0.00221714,Uniform
1,2,204800,0.000146134,Uniform
2,2,204800,0.000389322,Uniform
3,2,204800,0.000697231,Uniform
4,2,204800,0.00107872,Uniform
5,2,204800,0.00143109,Uniform
6,2,204800,0.00167139,Uniform
7,2,204800,0.00203221,Uniform
8,2,204800,0.00251194,Uniform
9,2,204800,0.00288432,Uniform
10,2,204800,0.00301641,Uniform
11,2,204800,0.00335872,Uniform
1,2,409600,0.000220249,Uniform
2,2,409600,0.000607271,Uniform
3,2,409600,0.00116914,Uniform
4,2,409600,0.00184073,Uniform
5,2,409600,0.00244742,Uniform
6,2,409600,0.00285244,Uniform
7,2,409600,0.00340672,Uniform
8,2,409600,0.00406868,Uniform
9,2,409600,0.00467492,Uniform
10,2,409600,0.00489527,Uniform
11,2,409600,0.00543046,Uniform
1,2,819200,0.000249309,Uniform
2,2,819200,0.000799432,Uniform
3,2,819200,0.00153155,Uniform
4,2,819200,0.00242423,Uniform
5,2,819200,0.00317306,Uniform
6,2,819200,0.0037664,Uniform
7,2,819200,0.00454653,Uniform
8,2,819200,0.00550533,Uniform
9,2,819200,0.00641989,Uniform
10,2,819200,0.00675411,Uniform
11,2,819200,0.00762362,Uniform
1,2,50,6.842e-06,Gaussian
2,2,50,1.01451e-05,Gaussian
3,2,50,2.413e-05,Gaussian
4,2,50,1.63703e-05,Gaussian
5,2,50,1.9123e-05,Gaussian
6,2,50,2.76608e-05,Gaussian
7,2,50,2.63494e-05,Gaussian
8,2,50,2.48338e-05,Gaussian
9,2,50,2.83594e-05,Gaussian
10,2,50,2.58064e-05,Gaussian
11,2,50,3.15681e-05,Gaussian
1,2,100,9.2235e-06,Gaussian
2,2,100,1.39611e-05,Gaussian
3,2,100,2.01777e-05,Gaussian
4,2,100,2.44811e-05,Gaussian
5,2,100,2.63268e-05,Gaussian
6,2,100,3.12794e-05,Gaussian
7,2,100,3.22427e-05,Gaussian
8,2,100,3.7883e-05,Gaussian
9,2,100,4.18428e-05,Gaussian
10,2,100,4.3679e-05,Gaussian
11,2,100,4.52771e-05,Gaussian
1,2,200,1.02147e-05,Gaussian
2,2,200,1.56538e-05,Gaussian
3,2,200,2.27627e-05,Gaussian
4,2,200,3.11307e-05,Gaussian
5,2,200,3.81958e-05,Gaussian
6,2,200,4.25215e-05,Gaussian
7,2,200,4.94296e-05,Gaussian
8,2,200,5.91952e-05,Gaussian
9,2,200,6.09494e-05,Gaussian
10,2,200,6.69135e-05,Gaussian
11,2,200,6.6473e-05,Gaussian
1,2,400,1.95023e-05,Gaussian
