K,Dimension,Number of Points,Time,Distribution
10,2,3200,0.000226693,Gaussian
11,2,3200,0.000210629,Gaussian
1,2,6400,0.000407338,Gaussian
2,2,6400,0.000402614,Gaussian
3,2,6400,0.000395239,Gaussian
4,2,6400,0.000398365,Gaussian
5,2,6400,0.000416629,Gaussian
6,2,6400,0.000395371,Gaussian
7,2,6400,0.000395658,Gaussian
8,2,6400,0.000401265,Gaussian
9,2,6400,0.000394916,Gaussian
10,2,6400,0.000395579,Gaussian
11,2,6400,0.000397802,Gaussian
1,2,12800,0.000864737,Gaussian
2,2,12800,0.000842224,Gaussian
3,2,12800,0.000863173,Gaussian
4,2,12800,0.000848136,Gaussian
5,2,12800,0.000849758,Gaussian
6,2,12800,0.000845741,Gaussian
7,2,12800,0.00085391,Gaussian
8,2,12800,0.000849001,Gaussian
9,2,12800,0.000844922,Gaussian
10,2,12800,0.000846066,Gaussian
11,2,12800,0.00086485,Gaussian
1,2,25600,0.00184562,Gaussian
2,2,25600,0.00181906,Gaussian
3,2,25600,0.00179889,Gaussian
4,2,25600,0.00178084,Gaussian
5,2,25600,0.00178133,Gaussian
6,2,25600,0.0017851,Gaussian
7,2,25600,0.00181333,Gaussian
8,2,25600,0.00179737,Gaussian
9,2,25600,0.00176917,Gaussian
10,2,25600,0.00176963,Gaussian
11,2,25600,0.00178662,Gaussian
1,2,51200,0.00389095,Gaussian
2,2,51200,0.00376645,Gaussian
3,2,51200,0.00378732,Gaussian
4,2,51200,0.00382004,Gaussian
5,2,51200,0.00374484,Gaussian
6,2,51200,0.00371014,Gaussian
7,2,51200,0.00376344,Gaussian
8,2,51200,0.00373286,Gaussian
9,2,51200,0.00378074,Gaussian
10,2,51200,0.00385039,Gaussian
11,2,51200,0.00375029,Gaussian
1,2,102400,0.00886021,Gaussian
2,2,102400,0.00743604,Gaussian
3,2,102400,0.00723243,Gaussian
4,2,102400,0.00721623,Gaussian
5,2,102400,0.00741504,Gaussian
6,2,102400,0.00737612,Gaussian
7,2,102400,0.00749507,Gaussian
8,2,102400,0.00739968,Gaussian
9,2,102400,0.00743002,Gaussian
10,2,102400,0.00747216,Gaussian
11,2,102400,0.0073453,Gaussian
1,2,204800,0.0152827,Gaussian
2,2,204800,0.0152414,Gaussian
3,2,204800,0.0151125,Gaussian
4,2,204800,0.0153955,Gaussian
5,2,204800,0.0161419,Gaussian
6,2,204800,0.0157835,Gaussian
7,2,204800,0.0157199,Gaussian
8,2,204800,0.0157773,Gaussian
9,2,204800,0.0149392,Gaussian
10,2,204800,0.0154672,Gaussian
11,2,204800,0.0149896,Gaussian
1,2,409600,0.0366331,Gaussian
2,2,409600,0.0360758,Gaussian
3,2,409600,0.035748,Gaussian
4,2,409600,0.0354454,Gaussian
5,2,409600,0.0358633,Gaussian
6,2,409600,0.0360572,Gaussian
7,2,409600,0.0385003,Gaussian
8,2,409600,0.0358178,Gaussian
9,2,409600,0.0353598,Gaussian
